"X","Y","Pb","Elevation","Slope","Aspect","Plan.Curvature","Profile.Curvature","TWI","MRVBF","MRRTF","Population","Landuse"
254740,674330,129.7,57.70000076,0.027651621,0.862169743,-0.018000942,-2.11e-06,9.039944649,3.799662352,0.016219543,3849,21
253550,656420,62.5,89.59999847,0.019695209,0.41822511,-0.001025857,0.000140124,8.815509796,2.982894897,0.082558535,3525,21
254300,673940,126.3,68.30000305,0.06541989,1.786154151,-0.001031614,-0.000131565,7.998268604,1.548908591,0.182469428,2228,3
253920,674860,76.9,85.80000305,0.055116545,2.381830454,-0.010031858,-6.49e-06,8.699531555,1.844372392,0.040104065,1453,3
253210,655720,49.2,134.1999969,0.023190703,0.129703671,-0.015801227,-0.000233304,8.99185276,1.738973856,2.153794289,3178,21
252440,656590,65.5,127.5999985,0.090624571,5.131730556,0.003608216,0.001019457,7.78639555,0.633818626,2.813770056,2674,4
254730,675300,187.2,69.59999847,0.07828711,2.844030619,0.002681258,-8.95e-05,7.775036812,0.420563608,0.461187154,1301,21
255700,655680,24.2,116.8000031,0.058354594,0.120109454,-0.001416702,-0.000295717,8.74176693,1.597521544,2.245769024,2375,21
254730,656190,93.9,97.09999847,0.049778536,1.752445459,-0.004979135,-0.000510042,9.486660004,2.63886857,0.045896016,2297,21
257940,656380,236.6,79.19999695,0.072768487,5.182171822,-0.007650787,-0.000597514,8.767889023,3.761179209,0.00803134,3240,1
252720,655860,44.3,118.6999969,0.023319604,1.030375123,-0.006960926,-0.000317389,9.330996513,2.975846052,0.03052354,1699,21
254420,672680,98.9,60.20000076,0.019207016,0.674741268,-0.003250414,-0.000357363,8.921766281,2.900759459,1.629222274,2785,21
252030,655720,533.8,126.8000031,0.030256324,0.132549196,-0.001483203,-0.000354621,8.8673563,2.935847044,0.1434104,1699,1
255430,674060,210.5,42.70000076,0.107838966,1.131936789,0.001478385,0.000196488,8.320014954,1.961616516,0.007022813,2833,1
253340,672840,107.9,77.80000305,0.022667661,2.41861248,0.011502472,-0.000180638,9.264022827,2.958904982,2.536451817,3258,21
252730,672810,84.1,93.40000153,0.062885188,2.571208715,-0.014334811,-0.000315482,8.400576591,1.761324644,0.030567216,1040,4
258000,668120,185,79.80000305,0.075394891,3.02216363,0.001353924,0.000255539,7.137844086,0.011327556,2.714843512,4679,4
253270,674250,90,114.6999969,0.097206779,1.34322834,-0.00972037,-0.000268294,7.396196842,0.663237631,0.090718329,1453,1
